152,392,680,1384,2088,2792
208,520,904,1800,2728,3624
256,648,1096,2216,3368,4584
328,872,1416,2856,4392,5736
408,1064,1800,3624,5352,7224
504,1320,2216,4392,6712,8760
600,1544,2600,5160,7736,10296
712,1800,3112,6200,9144,12216
808,2088,3496,6968,10680,14112
936,2344,4008,7992,11832,15840
936,2344,4008,7992,11832,15840
1032,2664,4392,8760,12960,17568
1192,2984,4968,9912,15264,19848
1352,3368,5736,11448,16992,22920
1544,3880,6456,12960,19080,25456
1736,4264,7224,14112,21384,28336
1800,4584,7736,15264,22920,30576
1800,4584,7736,15264,22920,30576
1928,4968,7992,16416,24496,32856
2152,5352,9144,18336,27376,36696
2344,5992,9912,19848,29296,39232
2600,6456,10680,21384,32856,43816
2792,6968,11448,22920,35160,46888
2984,7480,12576,25456,37888,51024
3240,7992,13536,27376,40576,55056
3496,8504,14112,28336,43816,57336
3624,9144,15264,30576,45352,61664
3752,9528,15840,31704,46888,63776
4392,11064,18336,36696,55056,75376
